1.13E-02	1.92E-02
1.42E-02	1.57E-02
1.79E-02	1.28E-02
2.25E-02	1.05E-02
2.84E-02	8.68E-03
3.57E-02	7.20E-03
4.50E-02	6.00E-03
5.66E-02	5.03E-03
7.13E-02	4.24E-03
8.97E-02	3.60E-03
1.13E-01	3.07E-03
1.42E-01	2.64E-03
1.79E-01	2.29E-03
2.25E-01	1.99E-03
2.84E-01	1.74E-03
3.57E-01	1.53E-03
4.50E-01	1.34E-03
5.66E-01	1.18E-03
7.13E-01	1.03E-03
8.97E-01	8.94E-04
1.13E+00	7.65E-04
1.42E+00	6.43E-04
1.79E+00	5.27E-04
2.25E+00	4.20E-04
2.84E+00	3.22E-04
3.57E+00	2.38E-04
4.50E+00	1.69E-04
5.66E+00	1.17E-04
7.13E+00	8.03E-05
8.97E+00	5.64E-05
1.13E+01	4.13E-05
1.42E+01	3.17E-05
1.79E+01	2.52E-05
2.25E+01	2.08E-05
2.84E+01	1.81E-05
3.57E+01	1.66E-05
4.50E+01	1.60E-05
5.66E+01	1.57E-05
7.13E+01	1.52E-05
8.97E+01	1.39E-05
1.13E+02	1.20E-05
1.42E+02	9.64E-06
1.79E+02	7.06E-06
2.25E+02	4.65E-06
2.84E+02	2.74E-06
3.57E+02	1.45E-06
4.50E+02	7.08E-07
5.66E+02	3.30E-07
7.13E+02	1.53E-07
8.97E+02	7.43E-08
1.13E+03	3.85E-08
1.42E+03	2.13E-08
1.79E+03	1.23E-08
2.25E+03	7.27E-09
2.84E+03	4.34E-09
3.57E+03	2.60E-09
4.50E+03	1.56E-09
5.66E+03	9.32E-10
7.13E+03	5.58E-10
8.97E+03	3.34E-10
1.13E+04	2.00E-10
1.42E+04	1.19E-10
1.79E+04	7.14E-11
2.25E+04	4.27E-11
2.84E+04	2.55E-11
3.57E+04	1.53E-11
4.50E+04	9.13E-12
5.66E+04	5.46E-12
7.13E+04	3.26E-12
8.97E+04	1.95E-12
1.13E+05	1.17E-12
1.42E+05	6.99E-13
1.79E+05	4.18E-13
2.25E+05	2.50E-13
2.84E+05	1.50E-13
3.57E+05	8.98E-14
4.50E+05	5.38E-14
5.66E+05	3.22E-14
7.13E+05	1.93E-14
8.97E+05	1.16E-14
