1.13E-02	1.87E-03
1.42E-02	5.78E-03
1.79E-02	1.79E-02
2.25E-02	5.51E-02
2.84E-02	1.66E-01
3.57E-02	4.56E-01
4.50E-02	9.00E-01
5.66E-02	1.01E+00
7.13E-02	7.58E-01
8.97E-02	5.04E-01
1.13E-01	3.27E-01
1.42E-01	2.12E-01
1.79E-01	1.38E-01
2.25E-01	9.09E-02
2.84E-01	6.04E-02
3.57E-01	4.06E-02
4.50E-01	2.77E-02
5.66E-01	6.98E-02
7.13E-01	1.34E-02
8.97E-01	5.60E-03
1.13E+00	6.97E-03
1.42E+00	5.13E-03
1.79E+00	3.84E-03
2.25E+00	2.90E-03
2.84E+00	2.22E-03
3.57E+00	1.71E-03
4.50E+00	1.32E-03
5.66E+00	1.03E-03
7.13E+00	7.99E-04
8.97E+00	6.18E-04
1.13E+01	4.74E-04
1.42E+01	3.59E-04
1.79E+01	2.67E-04
2.25E+01	1.94E-04
2.84E+01	1.37E-04
3.57E+01	9.42E-05
4.50E+01	6.26E-05
5.66E+01	4.04E-05
7.13E+01	2.53E-05
8.97E+01	1.55E-05
1.13E+02	9.33E-06
1.42E+02	5.52E-06
1.79E+02	3.23E-06
2.25E+02	1.87E-06
2.84E+02	1.08E-06
3.57E+02	6.17E-07
4.50E+02	3.53E-07
5.66E+02	2.01E-07
7.13E+02	1.14E-07
8.97E+02	6.51E-08
1.13E+03	3.70E-08
1.42E+03	2.10E-08
1.79E+03	1.19E-08
2.25E+03	6.76E-09
2.84E+03	3.83E-09
3.57E+03	2.18E-09
4.50E+03	1.23E-09
5.66E+03	7.00E-10
7.13E+03	3.97E-10
8.97E+03	2.25E-10
1.13E+04	1.28E-10
1.42E+04	7.24E-11
1.79E+04	4.10E-11
2.25E+04	2.33E-11
2.84E+04	1.32E-11
3.57E+04	7.48E-12
4.50E+04	4.24E-12
5.66E+04	2.41E-12
7.13E+04	1.36E-12
8.97E+04	7.74E-13
1.13E+05	4.39E-13
1.42E+05	2.49E-13
1.79E+05	1.41E-13
2.25E+05	8.00E-14
2.84E+05	4.54E-14
3.57E+05	2.57E-14
4.50E+05	1.46E-14
5.66E+05	8.27E-15
7.13E+05	4.69E-15
8.97E+05	2.66E-15

